,url,id,Sector,Area,AreaUnidad,Precio,Habitaciones,Baños,Estrato,Código inmueble,Barrio común,Antigüedad,Área construida,Área privada,Valor administración,Parqueaderos
18,https://www.metrocuadrado.com/inmueble/venta-casa-cali-santa-anita-la-selva-4-habitaciones-3-banos-1-garajes/4941-M4416239,19,Sector Sur,95,m²,$495.000.000,4,3,3,4941-M4416239,CAMINO REAL   LOS FUNDADORES,Entre 10 y 20 años,95 m²,95 m²,$350.000,1
19,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-5-habitaciones-5-banos-4-garajes/2592-M4080472,20,Sector Sur,830,m²,$1.200.000.000,5,5,5,2592-M4080472,CIUDAD JARDIN,Entre 10 y 20 años,830 m²,830 m²,$750.000,4
20,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-caney-3-habitaciones-3-banos-2-garajes/2592-M4293377,21,Sector Sur,100,m²,$380.000.000,3,3,3,2592-M4293377,CANEY,Entre 5 y 10 años,100 m²,100 m²,$383.000,2
21,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-el-ingenio-3-habitaciones-3-banos-2-garajes/12035-M4414327,22,Sector Sur,209,m²,$590.000.000,3,3,3,12035-M4414327,EL INGENIO,Entre 10 y 20 años,209 m²,209 m²,$450.000,2
22,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-parcelaciones-pance-3-habitaciones-5-banos-2-garajes/12035-M4459111,23,Sector Sur,159,m²,$980.000.000,3,5,5,12035-M4459111,PARCELACIONES PANCE,Entre 5 y 10 años,159 m²,143 m²,$950.000,2
23,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-bajo-aguacatal-4-habitaciones-5-banos-4-garajes/15913-M4298849,24,Cali Área 296 m²,296,m²,$1.500.000.000,4,5,5,15913-M4298849,BAJO AGUACATAL,Entre 5 y 10 años,296 m²,296 m²,$1.385.000,4
24,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-bochalema-1-habitaciones-2-banos/9947-M4201226,25,Cali Área 68 m²,68,m²,$245.000.000,1,2,2,9947-M4201226,Bochalema,Entre 0 y 5 años,68 m²,68 m²,,
25,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-na-3-habitaciones-3-banos-2-garajes/4941-M3359271,26,Cali Área 118 m²,118,m²,$649.000.000,3,3,3,4941-M3359271,ALTOS DE CIUDAD JARDIN,Entre 0 y 5 años,118 m²,118 m²,$410.000,2
26,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-aguacatal-4-habitaciones-5-banos-2-garajes/12035-M3203341,27,Sector Oeste,220,m²,$970.000.000,4,5,5,12035-M3203341,AGUACATAL,Entre 10 y 20 años,220 m²,220 m²,$796.000,2
27,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-parcelacion-piedra-grande-2-habitaciones-2-banos/15793-M4200342,28,Sector Sur,60,m²,$200.000.000,2,2,2,15793-M4200342,BOCHALEMA,Entre 5 y 10 años,60 m²,60 m²,$203.000,
28,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-ciudad-real-3-habitaciones-3-banos-1-garajes/3566-M4416164,29,Sector Sur,75,m²,$360.000.000,3,3,3,3566-M4416164,VALLE DEL LILI,Entre 5 y 10 años,75 m²,77 m²,,1
29,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-santa-isabel-3-habitaciones-4-banos-2-garajes/11258-M4081202,30,Sector Oeste,143,m²,$667.000.000,3,4,4,11258-M4081202,SANTA ISABEL,Entre 10 y 20 años,143 m²,144 m²,$570.000,2
30,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-normandia-4-habitaciones-5-banos-4-garajes/14383-M3770617,31,Sector Oeste,454,m²,$1.500.000.000,4,5,5,14383-M3770617,SECTOR ALTOS DE NORMANDIA BATACLAN,Entre 10 y 20 años,454 m²,454 m²,$1.500.000,4
31,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-menga-2-habitaciones-2-banos/9947-M4294285,32,Sector Norte,56,m²,$164.000.000,2,2,2,9947-M4294285,Menga,Entre 0 y 5 años,56 m²,56 m²,,
32,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-ciudadela-campestre-3-habitaciones-4-banos-1-garajes/9947-M4414208,33,Sector Sur,191,m²,$900.000.000,3,4,4,9947-M4414208,Ciudad Jardin,Entre 10 y 20 años,191 m²,191 m²,,1
33,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-santa-teresita-4-habitaciones-4-banos-4-garajes/15746-M4197128,34,Sector Oeste,433,m²,$1.800.000.000,4,4,4,15746-M4197128,SANTA TERESITA,Entre 10 y 20 años,433 m²,433 m²,$1.153.000,4
34,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-parcelaciones-pance-4-habitaciones-5-banos-4-garajes/12035-M4022412,35,Sector Sur,180,m²,$1.300.000.000,4,5,5,12035-M4022412,PARCELACIONES PANCE,Entre 5 y 10 años,180 m²,300 m²,$800.000,4
35,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-parcelacion-piedra-grande-2-habitaciones-2-banos-1-garajes/271-M3909082,36,Sector Sur,59,m²,$185.000.000,2,2,2,271-M3909082,BOCHALEMA,Entre 5 y 10 años,59 m²,59 m²,$170.000,1
36,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-santa-monica-3-habitaciones-4-banos-4-garajes/4083-M3777686,37,Sector Oeste,246,m²,$860.000.000,3,4,4,4083-M3777686,SANTA MONICA NORTE,Remodelado,246 m²,246 m²,$100.000.000,4
37,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-quintas-de-don-sima%C2%BFn-3-habitaciones-2-banos-1-garajes/4941-M4198021,38,Sector Sur,70,m²,$280.000.000,3,2,2,4941-M4198021,LAS QUINTAS DE DON SIMON,Entre 10 y 20 años,70 m²,70 m²,$228.000,1
38,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-arboledas-3-habitaciones-2-banos-2-garajes/3251-M4415182,39,Sector Oeste,140,m²,$600.000.000,3,2,2,3251-M4415182,SANTA ROSA DEL OESTE,Más de 20 años,140 m²,140 m²,$1.117.000,2
39,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-lili-3-habitaciones-2-banos-1-garajes/4186-M4459309,40,Sector Sur,88,m²,$335.000.000,3,2,2,4186-M4459309,VALLE DE LILI,Entre 0 y 5 años,88 m²,88 m²,$270.000,1
40,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-conjunto-residencial-aragon-3-habitaciones-2-banos-2-garajes/15793-M4199577,41,Sector Norte,103,m²,$570.000.000,3,2,2,15793-M4199577,LA FLORA,Entre 0 y 5 años,103 m²,103 m²,$488.000,2
41,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-conjunto-residencial-patios-de-la-flora-3-habitaciones-3-banos-1-garajes/15793-M4200320,42,Sector Norte,110,m²,$470.000.000,3,3,3,15793-M4200320,LA FLORA,Entre 5 y 10 años,110 m²,110 m²,$390.000,1
42,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-normandia-3-habitaciones-4-banos-2-garajes/10697-M3841460,43,Sector Oeste,240,m²,$1.600.000.000,3,4,4,10697-M3841460,NORMANDIA,Entre 5 y 10 años,240 m²,240 m²,$850.000,2
43,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-san-pascual-3-habitaciones-2-banos-1-garajes/15069-M4301577,44,Sector Centro,69,m²,$290.000.000,3,2,2,15069-M4301577,EL INGENIO,Más de 20 años,69 m²,68 m²,$350.000,1
44,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-santa-isabel-3-habitaciones-2-banos-1-garajes/15054-M4459629,45,Sector Oeste,220,m²,$300.000.000,3,2,2,15054-M4459629,SANTA ISABEL,Más de 20 años,220 m²,159 m²,,1
45,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-menga-3-habitaciones-5-banos-2-garajes/15793-M4201166,46,Sector Norte,120,m²,$840.000.000,3,5,5,15793-M4201166,MENGA,Entre 0 y 5 años,120 m²,120 m²,$958.000,2
46,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-santa-teresita-3-habitaciones-3-banos-2-garajes/11778-M2714622,47,Sector Oeste,267,m²,$1.650.000.000,3,3,3,11778-M2714622,SANTA TERESITA,Más de 20 años,267 m²,267 m²,$1.050.000,2
47,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-parcelaciones-pance-3-habitaciones-3-banos-1-garajes/14873-M4349114,48,Sector Sur,94,m²,$388.000.000,3,3,3,14873-M4349114,CIUDAD JARDIN,Entre 5 y 10 años,94 m²,94 m²,$380.000,1
48,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-conjunto-residencial-olivenza-1-habitaciones-1-banos/14155-M4262122,49,Sector Norte,37.91,m²,$259.000.000,1,1,1,14155-M4262122,Conjunto Residencial Alto Living,Entre 0 y 5 años,37.91 m²,33.05 m²,$191.000,
49,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-urbanizacion-la-flora-4-habitaciones-3-banos-1-garajes/13299-M3614372,50,Sector Norte,85,m²,$270.000.000,4,3,3,13299-M3614372,LA FLORA,Entre 10 y 20 años,85 m²,85 m²,$10.000,1
50,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-jardin-3-habitaciones-4-banos-3-garajes/5423-M3565554,51,Cali Área 310 m²,310,m²,$1.950.000.000,3,4,4,5423-M3565554,Ciudad Jardin,Entre 0 y 5 años,310 m²,310 m²,$900.000,3
51,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-3-habitaciones-4-banos-2-garajes/5423-M3840917,52,Sector Sur,380,m²,$1.350.000.000,3,4,4,5423-M3840917,Ciudad Jardin,Más de 20 años,380 m²,380 m²,$1.500.000,2
52,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacia%C2%BFn-ciudad-jarda%C2%8Dn-5-habitaciones-5-banos-4-garajes/242-M4186945,53,Sector Sur,840,m²,$5.900.000.000,5,5,5,242-M4186945,Ciudad Jardin,Entre 10 y 20 años,840 m²,840 m²,,4
53,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-normandia-3-habitaciones-4-banos-2-garajes/12356-M4072458,54,Sector Oeste,194,m²,$680.000.000,3,4,4,12356-M4072458,CALI NORMANDIA,Más de 20 años,194 m²,194 m²,$800.000,2
54,https://www.metrocuadrado.com/inmueble/venta-casa-cali-el-ingenio-5-habitaciones-5-banos-3-garajes/2592-M4292945,55,Sector Sur,750,m²,$1.200.000.000,5,5,5,2592-M4292945,EL INGENIO,Entre 10 y 20 años,750 m²,750 m²,,3
55,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-3-habitaciones-5-banos-4-garajes/2592-M4079017,56,Sector Sur,214.75,m²,$1.480.000.000,3,5,5,2592-M4079017,CIUDAD JARDIN,Entre 5 y 10 años,214.75 m²,214.75 m²,$1.029.000,4
56,https://www.metrocuadrado.com/inmueble/venta-casa-cali-bretaa%C2%BFa-4-habitaciones-5-banos-4-garajes/9947-M4298240,57,Sector Sur,374,m²,$2.490.000.000,4,5,5,9947-M4298240,Pance,Entre 10 y 20 años,374 m²,374 m²,,4
57,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacia%C2%B3n-la-merced-5-habitaciones-3-banos-1-garajes/2592-M4078649,58,Sector Norte,127,m²,$500.000.000,5,3,3,2592-M4078649,LA MERCED,Más de 20 años,127 m²,127 m²,,1
58,https://www.metrocuadrado.com/inmueble/venta-casa-cali-el-ingenio-5-habitaciones-3-banos-2-garajes/4941-M4198189,59,Sector Sur,268.8,m²,$695.000.000,5,3,3,4941-M4198189,EL INGENIO III,Más de 20 años,268.8 m²,268.8 m²,,2
59,https://www.metrocuadrado.com/inmueble/venta-casa-cali-arboledas-5-habitaciones-5-banos-4-garajes/11778-M3779858,60,Sector Oeste,600,m²,$1.900.000.000,5,5,5,11778-M3779858,Estatua de Belalcazar,Más de 20 años,600 m²,600 m²,,4
60,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-4-habitaciones-3-banos/9947-M4201223,61,Sector Sur,3610,m²,$2.800.000.000,4,3,3,9947-M4201223,Pance,Más de 20 años,3610 m²,3610 m²,,
61,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacia%C2%BFn-rio-lili-3-habitaciones-4-banos-3-garajes/12286-M4140540,62,Sector Sur,248,m²,$700.000.000,3,4,4,12286-M4140540,ALTOS DE CIUDAD JARDIN,Entre 10 y 20 años,248 m²,248 m²,$700.000,3
62,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacion-ciudad-jardin-4-habitaciones-5-banos-3-garajes/5097-M3234355,63,Sector Sur,325,m²,$1.650.000.000,4,5,5,5097-M3234355,CIUDA JARDIN,Más de 20 años,325 m²,937 m²,,3
63,https://www.metrocuadrado.com/inmueble/venta-casa-cali-lili-3-habitaciones-3-banos-1-garajes/4941-M3912796,64,Sector Sur,209,m²,$300.000.000,3,3,3,4941-M3912796,VALLE DEL LILI,Entre 10 y 20 años,209 m²,209 m²,,1
64,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-5-habitaciones-4-banos-2-garajes/12953-M4137595,65,Sector Sur,200,m²,$1.200.000.000,5,4,4,12953-M4137595,PANCE,Entre 10 y 20 años,200 m²,500 m²,,2
65,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacion-ciudad-jardin-5-habitaciones-5-banos-4-garajes/641-M3416793,66,Sector Sur,700,m²,$1.200.000.000,5,5,5,641-M3416793,CUIDAD JARDIN,Entre 5 y 10 años,700 m²,700 m²,,4
66,https://www.metrocuadrado.com/inmueble/venta-casa-cali-la-cascada-5-habitaciones-5-banos-3-garajes/16014-M4413393,67,Sector Sur,201,m²,$625.000.000,5,5,5,16014-M4413393,EL REFUGIO,Más de 20 años,201 m²,201 m²,,3
67,https://www.metrocuadrado.com/inmueble/venta-casa-cali-sector-la-luisa-bella-suiza-3-habitaciones-3-banos-2-garajes/12286-M4022253,68,Sector Sur,160,m²,$598.000.000,3,3,3,12286-M4022253,EL SEMINARIO,Más de 20 años,160 m²,160 m²,$418.500,2
68,https://www.metrocuadrado.com/inmueble/venta-casa-cali-santa-anita-la-selva-4-habitaciones-3-banos-1-garajes/4941-M4416239,69,Sector Sur,95,m²,$495.000.000,4,3,3,4941-M4416239,CAMINO REAL   LOS FUNDADORES,Entre 10 y 20 años,95 m²,95 m²,$350.000,1
69,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-5-habitaciones-5-banos-4-garajes/2592-M4080472,70,Sector Sur,830,m²,$1.200.000.000,5,5,5,2592-M4080472,CIUDAD JARDIN,Entre 10 y 20 años,830 m²,830 m²,$750.000,4
70,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-caney-3-habitaciones-3-banos-2-garajes/2592-M4293377,71,Sector Sur,100,m²,$380.000.000,3,3,3,2592-M4293377,CANEY,Entre 5 y 10 años,100 m²,100 m²,$383.000,2
71,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-el-ingenio-3-habitaciones-3-banos-2-garajes/12035-M4414327,72,Sector Sur,209,m²,$590.000.000,3,3,3,12035-M4414327,EL INGENIO,Entre 10 y 20 años,209 m²,209 m²,$450.000,2
72,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-parcelaciones-pance-3-habitaciones-5-banos-2-garajes/12035-M4459111,73,Sector Sur,159,m²,$980.000.000,3,5,5,12035-M4459111,PARCELACIONES PANCE,Entre 5 y 10 años,159 m²,143 m²,$950.000,2
73,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-bajo-aguacatal-4-habitaciones-5-banos-4-garajes/15913-M4298849,74,Cali Área 296 m²,296,m²,$1.500.000.000,4,5,5,15913-M4298849,BAJO AGUACATAL,Entre 5 y 10 años,296 m²,296 m²,$1.385.000,4
74,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-bochalema-1-habitaciones-2-banos/9947-M4201226,75,Cali Área 68 m²,68,m²,$245.000.000,1,2,2,9947-M4201226,Bochalema,Entre 0 y 5 años,68 m²,68 m²,,
75,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-na-3-habitaciones-3-banos-2-garajes/4941-M3359271,76,Cali Área 118 m²,118,m²,$649.000.000,3,3,3,4941-M3359271,ALTOS DE CIUDAD JARDIN,Entre 0 y 5 años,118 m²,118 m²,$410.000,2
76,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-aguacatal-4-habitaciones-5-banos-2-garajes/12035-M3203341,77,Sector Oeste,220,m²,$970.000.000,4,5,5,12035-M3203341,AGUACATAL,Entre 10 y 20 años,220 m²,220 m²,$796.000,2
77,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-parcelacion-piedra-grande-2-habitaciones-2-banos/15793-M4200342,78,Sector Sur,60,m²,$200.000.000,2,2,2,15793-M4200342,BOCHALEMA,Entre 5 y 10 años,60 m²,60 m²,$203.000,
78,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-ciudad-real-3-habitaciones-3-banos-1-garajes/3566-M4416164,79,Sector Sur,75,m²,$360.000.000,3,3,3,3566-M4416164,VALLE DEL LILI,Entre 5 y 10 años,75 m²,77 m²,,1
79,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-santa-isabel-3-habitaciones-4-banos-2-garajes/11258-M4081202,80,Sector Oeste,143,m²,$667.000.000,3,4,4,11258-M4081202,SANTA ISABEL,Entre 10 y 20 años,143 m²,144 m²,$570.000,2
80,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-normandia-4-habitaciones-5-banos-4-garajes/14383-M3770617,81,Sector Oeste,454,m²,$1.500.000.000,4,5,5,14383-M3770617,SECTOR ALTOS DE NORMANDIA BATACLAN,Entre 10 y 20 años,454 m²,454 m²,$1.500.000,4
81,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-menga-2-habitaciones-2-banos/9947-M4294285,82,Sector Norte,56,m²,$164.000.000,2,2,2,9947-M4294285,Menga,Entre 0 y 5 años,56 m²,56 m²,,
82,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-ciudadela-campestre-3-habitaciones-4-banos-1-garajes/9947-M4414208,83,Sector Sur,191,m²,$900.000.000,3,4,4,9947-M4414208,Ciudad Jardin,Entre 10 y 20 años,191 m²,191 m²,,1
83,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-santa-teresita-4-habitaciones-4-banos-4-garajes/15746-M4197128,84,Sector Oeste,433,m²,$1.800.000.000,4,4,4,15746-M4197128,SANTA TERESITA,Entre 10 y 20 años,433 m²,433 m²,$1.153.000,4
84,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-parcelaciones-pance-4-habitaciones-5-banos-4-garajes/12035-M4022412,85,Sector Sur,180,m²,$1.300.000.000,4,5,5,12035-M4022412,PARCELACIONES PANCE,Entre 5 y 10 años,180 m²,300 m²,$800.000,4
85,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-parcelacion-piedra-grande-2-habitaciones-2-banos-1-garajes/271-M3909082,86,Sector Sur,59,m²,$185.000.000,2,2,2,271-M3909082,BOCHALEMA,Entre 5 y 10 años,59 m²,59 m²,$170.000,1
86,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-santa-monica-3-habitaciones-4-banos-4-garajes/4083-M3777686,87,Sector Oeste,246,m²,$860.000.000,3,4,4,4083-M3777686,SANTA MONICA NORTE,Remodelado,246 m²,246 m²,$100.000.000,4
87,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-quintas-de-don-sima%C2%BFn-3-habitaciones-2-banos-1-garajes/4941-M4198021,88,Sector Sur,70,m²,$280.000.000,3,2,2,4941-M4198021,LAS QUINTAS DE DON SIMON,Entre 10 y 20 años,70 m²,70 m²,$228.000,1
88,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-arboledas-3-habitaciones-2-banos-2-garajes/3251-M4415182,89,Sector Oeste,140,m²,$600.000.000,3,2,2,3251-M4415182,SANTA ROSA DEL OESTE,Más de 20 años,140 m²,140 m²,$1.117.000,2
89,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-lili-3-habitaciones-2-banos-1-garajes/4186-M4459309,90,Sector Sur,88,m²,$335.000.000,3,2,2,4186-M4459309,VALLE DE LILI,Entre 0 y 5 años,88 m²,88 m²,$270.000,1
90,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-conjunto-residencial-aragon-3-habitaciones-2-banos-2-garajes/15793-M4199577,91,Sector Norte,103,m²,$570.000.000,3,2,2,15793-M4199577,LA FLORA,Entre 0 y 5 años,103 m²,103 m²,$488.000,2
91,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-conjunto-residencial-patios-de-la-flora-3-habitaciones-3-banos-1-garajes/15793-M4200320,92,Sector Norte,110,m²,$470.000.000,3,3,3,15793-M4200320,LA FLORA,Entre 5 y 10 años,110 m²,110 m²,$390.000,1
92,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-normandia-3-habitaciones-4-banos-2-garajes/10697-M3841460,93,Sector Oeste,240,m²,$1.600.000.000,3,4,4,10697-M3841460,NORMANDIA,Entre 5 y 10 años,240 m²,240 m²,$850.000,2
93,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-san-pascual-3-habitaciones-2-banos-1-garajes/15069-M4301577,94,Sector Centro,69,m²,$290.000.000,3,2,2,15069-M4301577,EL INGENIO,Más de 20 años,69 m²,68 m²,$350.000,1
94,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-santa-isabel-3-habitaciones-2-banos-1-garajes/15054-M4459629,95,Sector Oeste,220,m²,$300.000.000,3,2,2,15054-M4459629,SANTA ISABEL,Más de 20 años,220 m²,159 m²,,1
95,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-menga-3-habitaciones-5-banos-2-garajes/15793-M4201166,96,Sector Norte,120,m²,$840.000.000,3,5,5,15793-M4201166,MENGA,Entre 0 y 5 años,120 m²,120 m²,$958.000,2
96,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-santa-teresita-3-habitaciones-3-banos-2-garajes/11778-M2714622,97,Sector Oeste,267,m²,$1.650.000.000,3,3,3,11778-M2714622,SANTA TERESITA,Más de 20 años,267 m²,267 m²,$1.050.000,2
97,https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-parcelaciones-pance-3-habitaciones-3-banos-1-garajes/14873-M4349114,98,Sector Sur,94,m²,$388.000.000,3,3,3,14873-M4349114,CIUDAD JARDIN,Entre 5 y 10 años,94 m²,94 m²,$380.000,1
